Date,Crude_Oil_Price,OVX
2020-01-02 00:00:00-05:00,66.25,28.75
2020-01-03 00:00:00-05:00,68.5999984741211,31.920000076293945
2020-01-06 00:00:00-05:00,68.91000366210938,32.31999969482422
2020-01-07 00:00:00-05:00,68.2699966430664,31.799999237060547
2020-01-08 00:00:00-05:00,65.44000244140625,32.599998474121094
2020-01-09 00:00:00-05:00,65.37000274658203,33.220001220703125
2020-01-10 00:00:00-05:00,64.9800033569336,30.3799991607666
2020-01-13 00:00:00-05:00,64.19999694824219,34.25
2020-01-14 00:00:00-05:00,64.48999786376953,33.619998931884766
2020-01-15 00:00:00-05:00,64.0,33.380001068115234
2020-01-16 00:00:00-05:00,64.62000274658203,29.790000915527344
2020-01-17 00:00:00-05:00,64.8499984741211,28.600000381469727
2020-01-21 00:00:00-05:00,64.58999633789062,27.65999984741211
2020-01-22 00:00:00-05:00,63.209999084472656,30.700000762939453
2020-01-23 00:00:00-05:00,62.040000915527344,31.950000762939453
2020-01-24 00:00:00-05:00,60.689998626708984,34.54999923706055
2020-01-27 00:00:00-05:00,59.31999969482422,37.720001220703125
2020-01-28 00:00:00-05:00,59.5099983215332,36.41999816894531
2020-01-29 00:00:00-05:00,59.810001373291016,35.72999954223633
2020-01-30 00:00:00-05:00,58.290000915527344,37.4900016784668
2020-01-31 00:00:00-05:00,58.15999984741211,40.349998474121094
2020-02-03 00:00:00-05:00,54.45000076293945,41.810001373291016
2020-02-04 00:00:00-05:00,53.959999084472656,39.439998626708984
2020-02-05 00:00:00-05:00,55.279998779296875,37.880001068115234
2020-02-06 00:00:00-05:00,54.93000030517578,36.439998626708984
2020-02-07 00:00:00-05:00,54.470001220703125,37.5099983215332
2020-02-10 00:00:00-05:00,53.27000045776367,39.0099983215332
2020-02-11 00:00:00-05:00,54.0099983215332,37.52000045776367
2020-02-12 00:00:00-05:00,55.790000915527344,35.58000183105469
2020-02-13 00:00:00-05:00,56.34000015258789,35.84000015258789
2020-02-14 00:00:00-05:00,57.31999969482422,35.93000030517578
2020-02-18 00:00:00-05:00,57.75,33.470001220703125
2020-02-19 00:00:00-05:00,59.119998931884766,32.27000045776367
2020-02-20 00:00:00-05:00,59.310001373291016,33.15999984741211
2020-02-21 00:00:00-05:00,58.5,35.869998931884766
2020-02-24 00:00:00-05:00,56.29999923706055,39.529998779296875
2020-02-25 00:00:00-05:00,54.95000076293945,42.5
2020-02-26 00:00:00-05:00,53.43000030517578,43.400001525878906
2020-02-27 00:00:00-05:00,52.18000030517578,49.41999816894531
2020-02-28 00:00:00-05:00,50.52000045776367,51.25
2020-03-02 00:00:00-05:00,51.900001525878906,48.33000183105469
2020-03-03 00:00:00-05:00,51.86000061035156,50.79999923706055
2020-03-04 00:00:00-05:00,51.130001068115234,50.59000015258789
2020-03-05 00:00:00-05:00,49.9900016784668,52.58000183105469
2020-03-06 00:00:00-05:00,45.27000045776367,65.0199966430664
2020-03-09 00:00:00-04:00,34.36000061035156,115.91999816894531
2020-03-10 00:00:00-04:00,37.220001220703125,92.93000030517578
2020-03-11 00:00:00-04:00,35.790000915527344,105.25
2020-03-12 00:00:00-04:00,33.220001220703125,123.44999694824219
2020-03-13 00:00:00-04:00,33.849998474121094,118.4800033569336
2020-03-16 00:00:00-04:00,30.049999237060547,128.5
2020-03-17 00:00:00-04:00,28.729999542236328,133.32000732421875
2020-03-18 00:00:00-04:00,24.8799991607666,166.7899932861328
2020-03-19 00:00:00-04:00,28.469999313354492,164.05999755859375
2020-03-20 00:00:00-04:00,26.979999542236328,190.0800018310547
2020-03-23 00:00:00-04:00,27.030000686645508,185.67999267578125
2020-03-24 00:00:00-04:00,27.149999618530273,170.86000061035156
2020-03-25 00:00:00-04:00,27.389999389648438,144.02999877929688
2020-03-26 00:00:00-04:00,26.34000015258789,150.05999755859375
2020-03-27 00:00:00-04:00,24.93000030517578,175.8800048828125
2020-03-30 00:00:00-04:00,22.760000228881836,174.22000122070312
2020-03-31 00:00:00-04:00,22.739999771118164,170.5500030517578
2020-04-01 00:00:00-04:00,24.739999771118164,158.97999572753906
2020-04-02 00:00:00-04:00,29.940000534057617,162.64999389648438
2020-04-03 00:00:00-04:00,34.11000061035156,141.67999267578125
2020-04-06 00:00:00-04:00,33.04999923706055,144.19000244140625
2020-04-07 00:00:00-04:00,31.8700008392334,139.1300048828125
2020-04-08 00:00:00-04:00,32.84000015258789,141.4600067138672
2020-04-09 00:00:00-04:00,31.479999542236328,129.8800048828125
2020-04-13 00:00:00-04:00,31.739999771118164,114.44000244140625
2020-04-14 00:00:00-04:00,29.600000381469727,115.4800033569336
2020-04-15 00:00:00-04:00,27.690000534057617,120.37999725341797
2020-04-16 00:00:00-04:00,27.81999969482422,115.0999984741211
2020-04-17 00:00:00-04:00,28.079999923706055,95.91000366210938
2020-04-20 00:00:00-04:00,25.56999969482422,226.1300048828125
2020-04-21 00:00:00-04:00,19.329999923706055,325.1499938964844
2020-04-22 00:00:00-04:00,20.3700008392334,236.8000030517578
2020-04-23 00:00:00-04:00,21.329999923706055,211.0
2020-04-24 00:00:00-04:00,21.440000534057617,173.52999877929688
2020-04-27 00:00:00-04:00,19.989999771118164,185.47000122070312
2020-04-28 00:00:00-04:00,20.459999084472656,198.77000427246094
2020-04-29 00:00:00-04:00,22.540000915527344,195.58999633789062
2020-04-30 00:00:00-04:00,25.270000457763672,104.9800033569336
2020-05-01 00:00:00-04:00,26.440000534057617,110.18000030517578
2020-05-04 00:00:00-04:00,27.200000762939453,97.41999816894531
